"","hbr","area_name","sex","year","age_group","population_size"
"144","S08000013","Tayside","Males",2012,"75plus years",15034
"145","S08000013","Tayside","Males",2012,"All",199598
"146","S08000014","Western Isles","Males",2012,"0-44 years",6704
"147","S08000014","Western Isles","Males",2012,"45-64 years",4192
"148","S08000014","Western Isles","Males",2012,"65-74 years",1638
"149","S08000014","Western Isles","Males",2012,"75plus years",1072
"150","S08000014","Western Isles","Males",2012,"All",13606
"151","S92000003","Scotland","Females",2012,"0-44 years",1468428
"152","S92000003","Scotland","Females",2012,"45-64 years",745111
"153","S92000003","Scotland","Females",2012,"65-74 years",268309
"154","S92000003","Scotland","Females",2012,"75plus years",254462
"155","S92000003","Scotland","Females",2012,"All",2736310
"156","S08000001","Ayrshire and Arran","Females",2012,"0-44 years",96567
"157","S08000001","Ayrshire and Arran","Females",2012,"45-64 years",56142
"158","S08000001","Ayrshire and Arran","Females",2012,"65-74 years",22007
"159","S08000001","Ayrshire and Arran","Females",2012,"75plus years",19830
"160","S08000001","Ayrshire and Arran","Females",2012,"All",194546
"161","S08000002","Borders","Females",2012,"0-44 years",27261
"162","S08000002","Borders","Females",2012,"45-64 years",17617
"163","S08000002","Borders","Females",2012,"65-74 years",7195
"164","S08000002","Borders","Females",2012,"75plus years",6464
"165","S08000002","Borders","Females",2012,"All",58537
"166","S08000003","Dumfries and Galloway","Females",2012,"0-44 years",35772
"167","S08000003","Dumfries and Galloway","Females",2012,"45-64 years",23134
"168","S08000003","Dumfries and Galloway","Females",2012,"65-74 years",9774
"169","S08000003","Dumfries and Galloway","Females",2012,"75plus years",8948
"170","S08000003","Dumfries and Galloway","Females",2012,"All",77628
"171","S08000004","Fife","Females",2012,"0-44 years",99229
"172","S08000004","Fife","Females",2012,"45-64 years",52202
"173","S08000004","Fife","Females",2012,"65-74 years",19598
"174","S08000004","Fife","Females",2012,"75plus years",17733
"175","S08000004","Fife","Females",2012,"All",188762
"176","S08000005","Forth Valley","Females",2012,"0-44 years",82676
"177","S08000005","Forth Valley","Females",2012,"45-64 years",42259
"178","S08000005","Forth Valley","Females",2012,"65-74 years",15366
"179","S08000005","Forth Valley","Females",2012,"75plus years",13429
"180","S08000005","Forth Valley","Females",2012,"All",153730
"181","S08000006","Grampian","Females",2012,"0-44 years",159663
"182","S08000006","Grampian","Females",2012,"45-64 years",77821
"183","S08000006","Grampian","Females",2012,"65-74 years",26831
"184","S08000006","Grampian","Females",2012,"75plus years",25457
"185","S08000006","Grampian","Females",2012,"All",289772
"186","S08000007","Greater Glasgow and Clyde","Females",2012,"0-44 years",328456
"187","S08000007","Greater Glasgow and Clyde","Females",2012,"45-64 years",155718
"188","S08000007","Greater Glasgow and Clyde","Females",2012,"65-74 years",52200
"189","S08000007","Greater Glasgow and Clyde","Females",2012,"75plus years",53952
"190","S08000007","Greater Glasgow and Clyde","Females",2012,"All",590326
"191","S08000008","Highland","Females",2012,"0-44 years",78796
"192","S08000008","Highland","Females",2012,"45-64 years",48888
"193","S08000008","Highland","Females",2012,"65-74 years",18892
"194","S08000008","Highland","Females",2012,"75plus years",17008
"195","S08000008","Highland","Females",2012,"All",163584
"196","S08000009","Lanarkshire","Females",2012,"0-44 years",182082
"197","S08000009","Lanarkshire","Females",2012,"45-64 years",94227
"198","S08000009","Lanarkshire","Females",2012,"65-74 years",32573
"199","S08000009","Lanarkshire","Females",2012,"75plus years",28779
"200","S08000009","Lanarkshire","Females",2012,"All",337661
"201","S08000010","Lothian","Females",2012,"0-44 years",250717
"202","S08000010","Lothian","Females",2012,"45-64 years",109138
"203","S08000010","Lothian","Females",2012,"65-74 years",37214
"204","S08000010","Lothian","Females",2012,"75plus years",36322
"205","S08000010","Lothian","Females",2012,"All",433391
"206","S08000011","Orkney","Females",2012,"0-44 years",5291
"207","S08000011","Orkney","Females",2012,"45-64 years",3181
"208","S08000011","Orkney","Females",2012,"65-74 years",1308
"209","S08000011","Orkney","Females",2012,"75plus years",1057
"210","S08000011","Orkney","Females",2012,"All",10837
"211","S08000012","Shetland","Females",2012,"0-44 years",6112
"212","S08000012","Shetland","Females",2012,"45-64 years",3204
"213","S08000012","Shetland","Females",2012,"65-74 years",1145
"214","S08000012","Shetland","Females",2012,"75plus years",979
"215","S08000012","Shetland","Females",2012,"All",11440
"216","S08000013","Tayside","Females",2012,"0-44 years",109343
"217","S08000013","Tayside","Females",2012,"45-64 years",57555
"218","S08000013","Tayside","Females",2012,"65-74 years",22498
"219","S08000013","Tayside","Females",2012,"75plus years",22746
"220","S08000013","Tayside","Females",2012,"All",212142
"221","S08000014","Western Isles","Females",2012,"0-44 years",6463
"222","S08000014","Western Isles","Females",2012,"45-64 years",4025
"223","S08000014","Western Isles","Females",2012,"65-74 years",1708
"224","S08000014","Western Isles","Females",2012,"75plus years",1758
"225","S08000014","Western Isles","Females",2012,"All",13954
"226","S92000003","Scotland","All",2013,"0-44 years",2916818
"227","S92000003","Scotland","All",2013,"45-64 years",1463984
"228","S92000003","Scotland","All",2013,"65-74 years",522302
"229","S92000003","Scotland","All",2013,"75plus years",424596
"230","S92000003","Scotland","All",2013,"All",5327700
"231","S08000001","Ayrshire and Arran","All",2013,"0-44 years",187676
"232","S08000001","Ayrshire and Arran","All",2013,"45-64 years",108118
"233","S08000001","Ayrshire and Arran","All",2013,"65-74 years",43019
"234","S08000001","Ayrshire and Arran","All",2013,"75plus years",33427
"235","S08000001","Ayrshire and Arran","All",2013,"All",372240
"236","S08000002","Borders","All",2013,"0-44 years",53381
"237","S08000002","Borders","All",2013,"45-64 years",34786
"238","S08000002","Borders","All",2013,"65-74 years",14434
"239","S08000002","Borders","All",2013,"75plus years",11279
"240","S08000002","Borders","All",2013,"All",113880
"241","S08000003","Dumfries and Galloway","All",2013,"0-44 years",70064
"242","S08000003","Dumfries and Galloway","All",2013,"45-64 years",45170
"243","S08000003","Dumfries and Galloway","All",2013,"65-74 years",19398
"244","S08000003","Dumfries and Galloway","All",2013,"75plus years",15648
"245","S08000003","Dumfries and Galloway","All",2013,"All",150280
"246","S08000004","Fife","All",2013,"0-44 years",195593
"247","S08000004","Fife","All",2013,"45-64 years",102290
"248","S08000004","Fife","All",2013,"65-74 years",39014
"249","S08000004","Fife","All",2013,"75plus years",30003
"250","S08000004","Fife","All",2013,"All",366900
"251","S08000005","Forth Valley","All",2013,"0-44 years",163136
"252","S08000005","Forth Valley","All",2013,"45-64 years",83740
"253","S08000005","Forth Valley","All",2013,"65-74 years",29982
"254","S08000005","Forth Valley","All",2013,"75plus years",22812
"255","S08000005","Forth Valley","All",2013,"All",299670
"256","S08000006","Grampian","All",2013,"0-44 years",326699
"257","S08000006","Grampian","All",2013,"45-64 years",155920
"258","S08000006","Grampian","All",2013,"65-74 years",53301
"259","S08000006","Grampian","All",2013,"75plus years",43280
"260","S08000006","Grampian","All",2013,"All",579200
"261","S08000007","Greater Glasgow and Clyde","All",2013,"0-44 years",650282
"262","S08000007","Greater Glasgow and Clyde","All",2013,"45-64 years",303177
"263","S08000007","Greater Glasgow and Clyde","All",2013,"65-74 years",98334
"264","S08000007","Greater Glasgow and Clyde","All",2013,"75plus years",86127
"265","S08000007","Greater Glasgow and Clyde","All",2013,"All",1137920
"266","S08000008","Highland","All",2013,"0-44 years",157867
"267","S08000008","Highland","All",2013,"45-64 years",95932
"268","S08000008","Highland","All",2013,"65-74 years",38035
"269","S08000008","Highland","All",2013,"75plus years",29146
"270","S08000008","Highland","All",2013,"All",320980
"271","S08000009","Lanarkshire","All",2013,"0-44 years",358626
"272","S08000009","Lanarkshire","All",2013,"45-64 years",184085
"273","S08000009","Lanarkshire","All",2013,"65-74 years",62249
"274","S08000009","Lanarkshire","All",2013,"75plus years",47630
"275","S08000009","Lanarkshire","All",2013,"All",652590
"276","S08000010","Lothian","All",2013,"0-44 years",500152
"277","S08000010","Lothian","All",2013,"45-64 years",216877
"278","S08000010","Lothian","All",2013,"65-74 years",72157
"279","S08000010","Lothian","All",2013,"75plus years",60534
"280","S08000010","Lothian","All",2013,"All",849720
"281","S08000011","Orkney","All",2013,"0-44 years",10476
"282","S08000011","Orkney","All",2013,"45-64 years",6524
"283","S08000011","Orkney","All",2013,"65-74 years",2648
"284","S08000011","Orkney","All",2013,"75plus years",1912
"285","S08000011","Orkney","All",2013,"All",21560
"286","S08000012","Shetland","All",2013,"0-44 years",12498
"287","S08000012","Shetland","All",2013,"45-64 years",6595
"288","S08000012","Shetland","All",2013,"65-74 years",2392
"289","S08000012","Shetland","All",2013,"75plus years",1715
"290","S08000012","Shetland","All",2013,"All",23200
"291","S08000013","Tayside","All",2013,"0-44 years",217443
"292","S08000013","Tayside","All",2013,"45-64 years",112565
"293","S08000013","Tayside","All",2013,"65-74 years",43920
"294","S08000013","Tayside","All",2013,"75plus years",38232
"295","S08000013","Tayside","All",2013,"All",412160
"296","S08000014","Western Isles","All",2013,"0-44 years",12925
"297","S08000014","Western Isles","All",2013,"45-64 years",8205
"298","S08000014","Western Isles","All",2013,"65-74 years",3419
"299","S08000014","Western Isles","All",2013,"75plus years",2851
"300","S08000014","Western Isles","All",2013,"All",27400
"301","S92000003","Scotland","Males",2013,"0-44 years",1457133
"302","S92000003","Scotland","Males",2013,"45-64 years",714280
"303","S92000003","Scotland","Males",2013,"65-74 years",246992
"304","S92000003","Scotland","Males",2013,"75plus years",168275
"305","S92000003","Scotland","Males",2013,"All",2586680
"306","S08000001","Ayrshire and Arran","Males",2013,"0-44 years",92611
"307","S08000001","Ayrshire and Arran","Males",2013,"45-64 years",51820
"308","S08000001","Ayrshire and Arran","Males",2013,"65-74 years",20352
"309","S08000001","Ayrshire and Arran","Males",2013,"75plus years",13458
"310","S08000001","Ayrshire and Arran","Males",2013,"All",178241
"311","S08000002","Borders","Males",2013,"0-44 years",26438
"312","S08000002","Borders","Males",2013,"45-64 years",17136
"313","S08000002","Borders","Males",2013,"65-74 years",6984
"314","S08000002","Borders","Males",2013,"75plus years",4753
"315","S08000002","Borders","Males",2013,"All",55311
"316","S08000003","Dumfries and Galloway","Males",2013,"0-44 years",34897
"317","S08000003","Dumfries and Galloway","Males",2013,"45-64 years",22030
"318","S08000003","Dumfries and Galloway","Males",2013,"65-74 years",9360
"319","S08000003","Dumfries and Galloway","Males",2013,"75plus years",6693
"320","S08000003","Dumfries and Galloway","Males",2013,"All",72980
"321","S08000004","Fife","Males",2013,"0-44 years",97239
"322","S08000004","Fife","Males",2013,"45-64 years",49903
"323","S08000004","Fife","Males",2013,"65-74 years",18644
"324","S08000004","Fife","Males",2013,"75plus years",12185
"325","S08000004","Fife","Males",2013,"All",177971
"326","S08000005","Forth Valley","Males",2013,"0-44 years",81315
"327","S08000005","Forth Valley","Males",2013,"45-64 years",41075
"328","S08000005","Forth Valley","Males",2013,"65-74 years",14178
"329","S08000005","Forth Valley","Males",2013,"75plus years",9223
"330","S08000005","Forth Valley","Males",2013,"All",145791
"331","S08000006","Grampian","Males",2013,"0-44 years",166084
"332","S08000006","Grampian","Males",2013,"45-64 years",77818
"333","S08000006","Grampian","Males",2013,"65-74 years",25661
"334","S08000006","Grampian","Males",2013,"75plus years",17622
"335","S08000006","Grampian","Males",2013,"All",287185
"336","S08000007","Greater Glasgow and Clyde","Males",2013,"0-44 years",324165
"337","S08000007","Greater Glasgow and Clyde","Males",2013,"45-64 years",145952
"338","S08000007","Greater Glasgow and Clyde","Males",2013,"65-74 years",45549
"339","S08000007","Greater Glasgow and Clyde","Males",2013,"75plus years",32178
"340","S08000007","Greater Glasgow and Clyde","Males",2013,"All",547844
"341","S08000008","Highland","Males",2013,"0-44 years",80039
"342","S08000008","Highland","Males",2013,"45-64 years",47106
"343","S08000008","Highland","Males",2013,"65-74 years",18406
"344","S08000008","Highland","Males",2013,"75plus years",11932
"345","S08000008","Highland","Males",2013,"All",157483
"346","S08000009","Lanarkshire","Males",2013,"0-44 years",178589
"347","S08000009","Lanarkshire","Males",2013,"45-64 years",88965
"348","S08000009","Lanarkshire","Males",2013,"65-74 years",28941
"349","S08000009","Lanarkshire","Males",2013,"75plus years",18420
"350","S08000009","Lanarkshire","Males",2013,"All",314915
"351","S08000010","Lothian","Males",2013,"0-44 years",248601
"352","S08000010","Lothian","Males",2013,"45-64 years",106650
"353","S08000010","Lothian","Males",2013,"65-74 years",33862
"354","S08000010","Lothian","Males",2013,"75plus years",23835
"355","S08000010","Lothian","Males",2013,"All",412948
"356","S08000011","Orkney","Males",2013,"0-44 years",5271
"357","S08000011","Orkney","Males",2013,"45-64 years",3328
"358","S08000011","Orkney","Males",2013,"65-74 years",1303
"359","S08000011","Orkney","Males",2013,"75plus years",821
"360","S08000011","Orkney","Males",2013,"All",10723
"361","S08000012","Shetland","Males",2013,"0-44 years",6449
"362","S08000012","Shetland","Males",2013,"45-64 years",3382
"363","S08000012","Shetland","Males",2013,"65-74 years",1232
"364","S08000012","Shetland","Males",2013,"75plus years",708
"365","S08000012","Shetland","Males",2013,"All",11771
"366","S08000013","Tayside","Males",2013,"0-44 years",108866
"367","S08000013","Tayside","Males",2013,"45-64 years",54965
"368","S08000013","Tayside","Males",2013,"65-74 years",20822
"369","S08000013","Tayside","Males",2013,"75plus years",15345
"370","S08000013","Tayside","Males",2013,"All",199998
"371","S08000014","Western Isles","Males",2013,"0-44 years",6569
"372","S08000014","Western Isles","Males",2013,"45-64 years",4150
"373","S08000014","Western Isles","Males",2013,"65-74 years",1698
"374","S08000014","Western Isles","Males",2013,"75plus years",1102
"375","S08000014","Western Isles","Males",2013,"All",13519
"376","S92000003","Scotland","Females",2013,"0-44 years",1459685
"377","S92000003","Scotland","Females",2013,"45-64 years",749704
"378","S92000003","Scotland","Females",2013,"65-74 years",275310
"379","S92000003","Scotland","Females",2013,"75plus years",256321
"380","S92000003","Scotland","Females",2013,"All",2741020
